split,motion_id,caption,style_groups,matched_keywords,audit_label,notes
train,M002232,a person who seems to be dancing,Dance expressive,dancing,,
train,001109,a person jumps around as if they are dancing in a club.,Dance expressive,dancing,,
train,M005962,a person walks forward careful not to step on something on the ground.,Controlled motion,careful,,
train,009170,a character raises their hands up to dance with somebody,Dance expressive,dance,,
train,M001689,a person seems to run into objects on both sides of them and stutter steps as a result.,Energetic dynamic,run,,
train,M005411,a person does a dance kick.,Dance expressive,dance,,
train,M009732,a person who seems to be dancing with someone,Dance expressive,dancing,,
test,005540,"a person with their hands by their sides jumps twice on their left leg while bending their right knee and then jumps twice on their right leg, they then jump twice on their right leg while bending their left knee.  they repeat this pattern of jumps one more time before stopping.",Energetic dynamic,jump,,
train,012590,"a person shuffles forward in a quick motion, similar to a monkey or gorilla.",Energetic dynamic,quick,,
train,013785,"a person picks up something heavy and sets it to the right, then picks up another.",Heavy awkward,heavy,,
train,M004586,a person uses their strength to squat and lift something heavy above their shoulders.,Heavy awkward,heavy,,
train,M012526,a person jumps and raises their hands midway and then begins to jump again.,Energetic dynamic,jump,,
train,005478,person is lifting something heavy.,Heavy awkward,heavy,,
train,M006456,a person walks forward at a slow pace.,Controlled motion,slow,,
train,M013116,person is doing a dance move.,Dance expressive,dance,,
train,004034,a man walks forward fast.,Energetic dynamic,fast,,
train,M009575,this person moves around right to left with arms in front as if to dance.,Dance expressive,dance,,
test,M005813,a person is doing a dance.,Dance expressive,dance,,
train,011265,the person is walking very slow,Controlled motion,slow,,
train,014238,a person reaches down and lifts a heavy object with both arms.,Heavy awkward,heavy,,
train,012824,a person sets something down on the ground and then walks with big hip sway in a diaganol direction.,Dance expressive,sway,,
train,M006667,"a person takes several steps forward with a slight limp, turns around, and lightly jogs back to their beginning position.",Heavy awkward,limp,,
train,M013484,person raises left hand in a slow forward gesture,Controlled motion,slow,,
train,M006835,somebody runs to a seat and sits down quick.,Energetic dynamic,quick,,
train,M010232,"the man is walking steadily not fast but not slow ,swinging his arms down word left to right left to right one foot in front of the other now one foot in front of the other.",Controlled motion|Energetic dynamic,fast;slow,,
train,004324,walking up to a ledge the jogging back to prepare to jump,Energetic dynamic,jump,,
train,M001901,a man walks slowly and then fast in a clockwise motion.,Energetic dynamic,fast,,
val,006222,the person takes six normal size fast steps forward.,Energetic dynamic,fast,,
train,M000794,person is slow walking down.,Controlled motion,slow,,
test,002770,a person appears to be dancing.,Dance expressive,dancing,,
