all_joint_vertical_range_delta_pct,arm_motion_range_delta_pct,case,duration_sec_delta_pct,mean_joint_acceleration_delta_pct,mean_joint_jerk_delta_pct,mean_joint_velocity_delta_pct,prompt,root_height_mean_delta_pct,root_rotation_amount_delta_pct,root_speed_mean_delta_pct,root_vertical_range_delta_pct,style_proxy_total,style_proxy_win_rate,style_proxy_wins
,,slow_deliberate,,3.423182992931374,2.9908415197273617,2.152653560963017,A person walks forward slowly and deliberately.,,,1.8828044342351773,,4,1.0,4
,-2.7818231820663493,graceful_dance,,,-17.5082859877882,,A person performs a graceful dance motion.,,55.430656052467086,,19.37995177402681,4,0.5,2
,-3.88384259913095,tai_chi,0.0,,,,A person moves like doing tai chi.,,-9.138222781060202,11.803421651839969,,4,0.25,1
4.443860719417694,35.99634951050577,energetic_jump,,-20.71011586632855,,-5.110977440795638,A person jumps energetically.,,,40.76001706036975,44.728172151848504,6,0.6666666666666666,4
,,heavy_tired,,,-28.088063767764943,-34.648033725235614,A person walks in a tired and heavy style.,-0.9384814439177632,,-48.0432846883302,,4,0.0,0
